name,record,height,weight,reach,stance,dob,slpm,str_ acc__%,sapm,str_ def_%,td avg.,td acc__%,td def__%,sub. avg.,cluster
Takashi Sato,Record: 16-7-0,177.8,77.11,185.42,Unorthodox,"Jun 09, 1990",2.21,41,3.73,44,0.76,37,60,0.0,1
Daniel Rodriguez,Record: 17-4-0,185.42,77.11,187.96,Unorthodox,"Dec 31, 1986",7.3,50,5.28,56,0.62,50,63,0.1,4
Matt Brown,Record: 26-19-0,182.88,77.11,190.5,Orthodox,"Jan 10, 1981",3.76,55,2.92,55,1.68,46,63,1.3,2
Chase Sherman,Record: 16-12-0,193.04,113.4,198.12,Orthodox,"Nov 16, 1989",6.04,45,6.65,52,0.09,50,74,0.0,4
Douglas Silva de Andrade,Record: 29-5-0 (1 NC),170.18,61.23,172.72,Orthodox,"Jun 22, 1985",3.66,38,3.99,58,0.61,46,70,0.2,4
Cody Stamann,Record: 21-6-1,167.64,61.23,162.56,Orthodox,"Nov 09, 1989",4.39,47,3.63,62,2.34,39,76,0.0,4
Mandy Bohm,Record: 8-2-0 (1 NC),170.18,56.7,180.34,Orthodox,"Jul 30, 1989",2.51,45,3.24,60,0.72,18,75,0.7,4
Ji Yeon Kim,Record: 9-7-2,170.18,56.7,182.88,Orthodox,"Oct 18, 1989",5.37,36,5.41,56,0.0,0,50,0.1,4
Gabe Green,Record: 11-5-0,177.8,70.31,185.42,Unorthodox,"May 02, 1993",6.28,45,6.95,47,0.83,50,53,0.3,4
Jessica-Rose Clark,Record: 11-9-0 (1 NC),165.1,61.23,162.56,Orthodox,"Nov 28, 1987",3.73,51,3.51,58,1.66,42,62,0.3,4
Belal Muhammad,Record: 23-3-0 (1 NC),180.34,77.11,182.88,Orthodox,"Jul 09, 1988",4.55,43,3.64,57,1.98,35,93,0.2,4
Kron Gracie,Record: 5-2-0,175.26,65.77,177.8,Unorthodox,"Jul 11, 1988",3.74,44,6.82,53,0.47,25,0,0.5,1
Braxton Smith,Record: 5-2-0,180.34,116.57,182.88,Orthodox,"Jan 01, 1990",6.46,48,11.54,32,0.0,0,100,0.0,4
Joseph Holmes,Record: 8-4-0,193.04,83.91,203.2,Orthodox,"Jul 04, 1995",2.88,53,3.08,54,1.49,40,50,0.8,2
Journey Newson,Record: 10-5-0 (1 NC),165.1,61.23,170.18,Orthodox,"Mar 07, 1989",2.64,32,2.57,64,0.56,16,43,0.3,1
Hailey Cowan,Record: 7-3-0,172.72,61.23,170.18,Unorthodox,"Feb 12, 1992",2.97,42,3.17,34,1.5,33,80,0.0,4
Brogan Walker,Record: 8-4-0,162.56,56.7,170.18,Unorthodox,"Aug 02, 1988",2.04,30,3.7,47,0.0,0,11,0.0,1
Montel Jackson,Record: 13-2-0,177.8,61.23,190.5,Unorthodox,"Apr 24, 1992",3.36,53,1.41,64,3.42,71,69,0.3,2
Brady Hiestand,Record: 8-2-0,172.72,61.23,180.34,Orthodox,"Apr 30, 1999",2.93,52,3.65,53,4.06,46,42,0.3,2
Batgerel Danaa,Record: 12-5-0,170.18,61.23,177.8,Orthodox,"Jul 04, 1989",5.38,36,4.21,47,0.52,50,62,0.0,4
Azamat Murzakanov,Record: 13-0-0,177.8,92.99,180.34,Unorthodox,"Apr 12, 1989",4.57,57,3.12,57,0.75,16,83,0.0,4
Rafa Garcia,Record: 16-3-0,170.18,70.31,177.8,Orthodox,"Aug 05, 1994",4.19,42,4.21,61,3.61,44,79,0.3,2
Zak Cummings,Record: 25-7-0,182.88,92.99,190.5,Unorthodox,"Aug 02, 1984",2.96,35,2.91,55,0.62,28,66,0.6,1
Ed Herman,Record: 27-16-0 (1 NC),185.42,92.99,195.58,Orthodox,"Oct 02, 1980",3.31,48,3.71,42,1.96,47,59,1.0,2
Lando Vannata,Record: 12-7-2,175.26,70.31,180.34,Orthodox,"Mar 14, 1992",4.52,45,4.76,55,1.09,37,69,0.3,4
Aaron Phillips,Record: 12-5-0,175.26,61.23,180.34,Unorthodox,"Aug 05, 1989",1.51,53,3.66,43,0.86,50,44,0.6,2
Jorge Masvidal,Record: 35-17-0,180.34,77.11,187.96,Orthodox,"Nov 12, 1984",4.05,47,3.05,64,1.38,59,72,0.3,2
Santiago Ponzinibbio,Record: 30-7-0,182.88,77.11,185.42,Orthodox,"Sep 26, 1986",4.9,41,4.67,61,0.48,30,60,0.0,4
Cynthia Calvillo,Record: 9-6-1,162.56,52.16,162.56,Orthodox,"Jul 13, 1987",4.41,38,4.12,64,1.8,44,77,0.8,4
Shayilan Nuerdanbieke,Record: 39-11-0,172.72,65.77,175.26,Orthodox,"May 04, 1994",2.28,45,2.94,50,2.9,33,40,0.0,2
Steven Peterson,Record: 19-11-0,177.8,65.77,177.8,Orthodox,"May 29, 1990",4.76,40,5.94,53,1.42,26,64,0.7,4
Gunnar Nelson,Record: 19-5-1,180.34,77.11,182.88,Unorthodox,"Jul 28, 1988",1.84,61,3.0,49,1.9,59,66,1.0,2
Makwan Amirkhani,Record: 17-9-0,177.8,65.77,182.88,Unorthodox,"Nov 08, 1988",1.33,44,2.98,46,3.96,43,35,1.1,2
Omar Morales,Record: 11-4-0,180.34,70.31,185.42,Orthodox,"Oct 17, 1985",3.42,40,3.18,58,0.46,100,63,0.0,2
Dusko Todorovic,Record: 12-4-0,185.42,83.91,187.96,Orthodox,"May 19, 1994",5.54,57,4.55,46,0.96,12,45,0.0,4
Nikita Krylov,Record: 30-9-0,190.5,92.99,195.58,Orthodox,"Mar 07, 1992",4.38,55,2.47,44,2.29,38,53,1.4,2
Guido Cannetti,Record: 10-8-0,167.64,61.23,172.72,Unorthodox,"Dec 19, 1979",3.44,55,2.84,51,2.27,55,64,0.4,2
Raphael Assuncao,Record: 28-10-0,165.1,61.23,167.64,Orthodox,"Jul 19, 1982",3.22,42,2.5,66,1.65,39,78,0.2,2
Tony Gravely,Record: 23-9-0,165.1,61.23,175.26,Orthodox,"Sep 28, 1991",3.82,48,4.47,44,5.4,41,52,0.3,2
Jon Jones,Record: 27-1-0 (1 NC),193.04,112.49,213.36,Orthodox,"Jul 19, 1987",4.29,57,2.22,64,1.93,45,95,0.5,2
Trevin Jones,Record: 13-10-0 (1 NC),170.18,61.23,177.8,Unorthodox,"Aug 04, 1990",2.13,37,4.29,39,0.62,15,60,0.2,1
Derek Brunson,Record: 23-9-0,185.42,83.91,195.58,Unorthodox,"Jan 04, 1984",3.51,47,3.05,51,3.14,33,85,0.6,2
Julian Marquez,Record: 9-4-0,187.96,83.91,182.88,Orthodox,"May 08, 1990",4.86,44,4.99,51,0.0,0,53,2.6,4
Mana Martinez,Record: 10-4-0,177.8,61.23,177.8,Orthodox,"Mar 25, 1996",4.33,48,4.94,50,0.72,42,25,0.5,4
Jessica Penne,Record: 14-8-0,165.1,52.16,170.18,Orthodox,"Jan 30, 1983",2.52,31,4.75,46,1.32,21,36,0.6,1
Augusto Sakai,Record: 16-5-1,190.5,120.2,195.58,Orthodox,"May 09, 1991",4.6,49,3.83,48,0.23,40,56,0.0,4
Erick Gonzalez,Record: 14-8-0,180.34,70.31,190.5,Orthodox,"Jan 20, 1992",2.4,36,8.08,40,6.0,55,50,0.0,2
Nurullo Aliev,Record: 9-0-0,177.8,70.31,182.88,Orthodox,"Dec 08, 2000",2.5,51,0.46,59,3.06,44,0,0.0,2
Rafael Alves,Record: 20-12-0,172.72,70.31,172.72,Orthodox,"Nov 14, 1990",1.85,48,3.3,58,0.29,25,44,1.5,1
Jordan Wright,Record: 12-5-0 (1 NC),187.96,92.99,195.58,Orthodox,"Oct 07, 1991",4.1,56,6.03,31,2.09,45,100,0.4,4
William Knight,Record: 11-5-0,177.8,92.99,185.42,Orthodox,"Apr 03, 1988",2.62,56,3.3,35,1.78,40,48,0.4,2
Lina Lansberg,Record: 10-8-0,170.18,61.23,165.1,Orthodox,"Mar 13, 1982",2.69,55,3.87,44,0.52,27,47,0.1,4
Khusein Askhabov,Record: 23-1-0,172.72,65.77,175.26,Orthodox,"Feb 13, 1995",2.0,26,4.13,56,0.0,0,66,0.0,1
Clayton Carpenter,Record: 7-0-0,167.64,56.7,167.64,Orthodox,"Jun 09, 1996",4.5,51,2.85,60,2.47,50,0,2.5,2
Juancamilo Ronderos,Record: 4-2-0,160.02,56.7,162.56,Unorthodox,"Feb 17, 1995",2.18,30,2.18,63,2.72,33,0,0.0,2
Don Shainis,Record: 12-5-0,167.64,65.77,170.18,Orthodox,"Sep 16, 1990",3.42,50,5.87,31,0.97,25,20,1.9,1
Zubaira Tukhugov,Record: 20-6-1,172.72,70.31,172.72,Orthodox,"Jan 15, 1991",3.17,39,3.07,63,2.13,39,100,0.0,4
Dooho Choi,Record: 14-4-1,177.8,65.77,177.8,Orthodox,"Apr 10, 1991",4.74,53,4.91,54,0.29,20,50,0.0,4
Yizha,Record: 25-4-0,170.18,65.77,180.34,Orthodox,"Jan 08, 1997",2.82,44,2.2,54,4.55,32,59,1.4,2
SeungGuk Choi,Record: 7-3-0,167.64,56.7,162.56,Orthodox,"Dec 26, 1996",2.69,42,2.69,65,1.02,27,74,0.0,4
Glover Teixeira,Record: 33-9-0,187.96,92.99,193.04,Orthodox,"Oct 28, 1979",3.73,49,4.43,51,2.11,33,60,0.9,4
Lauren Murphy,Record: 16-6-0,165.1,56.7,170.18,Orthodox,"Jul 27, 1983",4.05,39,5.25,55,1.03,25,69,0.1,4
Mauricio Rua,Record: 27-14-1,185.42,92.99,193.04,Orthodox,"Nov 25, 1981",3.57,50,2.79,54,2.01,48,49,0.7,2
Mounir Lazzez,Record: 11-3-0,185.42,77.11,193.04,Orthodox,"Nov 16, 1987",7.49,55,5.42,53,1.8,57,71,0.0,4
Shamil Abdurakhimov,Record: 20-8-0,190.5,106.59,193.04,Orthodox,"Sep 02, 1981",2.41,44,3.02,55,1.01,23,45,0.1,1
Saimon Oliveira,Record: 18-5-0,162.56,61.23,182.88,Orthodox,"Apr 21, 1991",2.82,41,3.91,48,1.21,25,35,1.6,1
Allan Nascimento,Record: 20-6-0,172.72,56.7,175.26,Orthodox,"Sep 11, 1991",3.21,61,2.28,50,1.55,26,16,0.9,2
Cheyanne Vlismas,Record: 7-3-0,160.02,52.16,160.02,Unorthodox,"Jun 25, 1995",4.93,50,2.57,64,0.25,33,66,0.2,4
Saidyokub Kakhramonov,Record: 10-3-0,172.72,61.23,175.26,Orthodox,"Nov 14, 1995",2.05,51,0.88,58,6.63,48,83,1.9,2
Sergey Morozov,Record: 19-5-0,167.64,61.23,170.18,Orthodox,"Jun 14, 1989",3.01,43,2.97,61,3.63,31,68,0.0,2
Darren Till,Record: 18-5-1,182.88,83.91,187.96,Unorthodox,"Dec 24, 1992",2.3,46,3.31,56,0.55,46,69,0.0,2
Jay Perrin,Record: 10-7-0,170.18,61.23,170.18,Unorthodox,"Jun 15, 1993",3.71,46,3.9,44,2.83,52,58,0.0,2
Dalcha Lungiambula,Record: 11-6-0,172.72,83.91,193.04,Orthodox,"Jul 31, 1987",3.07,45,3.93,52,2.14,45,77,0.0,2
Steven Koslow,Record: 6-1-0,170.18,56.7,175.26,Unorthodox,"Jan 22, 1997",0.77,37,3.73,40,5.28,55,0,1.1,2
Kyle Daukaus,Record: 11-4-0 (1 NC),190.5,83.91,193.04,Unorthodox,"Feb 27, 1993",3.22,52,2.94,42,2.12,25,82,1.9,2
Scott Holtzman,Record: 14-6-0,175.26,70.31,175.26,Orthodox,"Sep 30, 1983",4.32,47,3.66,55,1.88,56,67,0.2,4
Marcelo Rojo,Record: 16-10-0,172.72,65.77,180.34,Orthodox,"Jul 02, 1988",4.92,39,6.42,55,0.46,50,66,0.0,4
Vince Morales,Record: 11-7-0,175.26,61.23,177.8,Orthodox,"Nov 12, 1990",4.17,37,4.24,53,0.14,25,64,0.0,4
Ricky Turcios,Record: 13-3-0,175.26,61.23,180.34,Orthodox,"Jun 05, 1993",5.08,37,3.7,55,1.0,25,45,0.2,4
Kevin Natividad,Record: 9-4-0,167.64,61.23,177.8,Orthodox,"Apr 02, 1993",2.68,34,4.29,47,3.66,50,83,0.0,2
Carla Esparza,Record: 20-7-0,154.94,52.16,160.02,Orthodox,"Oct 10, 1987",2.16,40,2.69,55,3.22,35,47,0.3,2
Michael Chandler,Record: 23-8-0,172.72,70.31,180.34,Orthodox,"Apr 24, 1986",4.89,46,4.58,46,2.17,38,71,0.9,4
Frankie Edgar,Record: 23-11-1,167.64,61.23,172.72,Orthodox,"Oct 16, 1981",3.77,40,2.82,65,2.29,31,65,0.3,2
Brad Riddell,Record: 10-4-0,170.18,70.31,180.34,Orthodox,"Sep 30, 1991",4.71,53,3.53,53,1.77,36,63,0.0,4
Dominick Reyes,Record: 12-4-0,193.04,92.99,195.58,Unorthodox,"Dec 26, 1989",4.75,50,3.77,48,0.36,28,80,0.4,4
Silvana Gomez Juarez,Record: 11-5-0,160.02,52.16,165.1,Orthodox,"Dec 06, 1984",4.26,32,4.04,61,0.0,0,30,0.0,1
Michael Trizano,Record: 11-3-0,180.34,65.77,180.34,Orthodox,"Dec 31, 1991",3.63,53,4.4,50,0.36,66,72,0.5,4
Nicolae Negumereanu,Record: 13-2-0,182.88,92.99,198.12,Orthodox,"Sep 04, 1994",3.58,41,5.56,39,1.02,28,62,0.0,4
Darrick Minner,Record: 26-14-0,170.18,65.77,175.26,Orthodox,"Apr 28, 1990",2.63,65,2.28,35,2.4,72,66,2.7,2
Shanna Young,Record: 9-6-0,170.18,56.7,165.1,Orthodox,"Feb 20, 1991",3.18,47,4.88,43,0.0,0,53,0.6,1
Benito Lopez,Record: 10-2-0,177.8,61.23,185.42,Unorthodox,"Apr 06, 1994",4.39,45,5.18,56,0.0,0,73,0.3,4
Liudvik Sholinian,Record: 9-4-1,177.8,61.23,180.34,Orthodox,"Jan 20, 1990",2.5,30,5.67,55,0.0,0,66,0.0,1
Carlos Candelario,Record: 8-3-0,172.72,56.7,172.72,Unorthodox,"Jun 04, 1991",3.97,46,5.17,44,2.28,36,53,0.3,4
Ramona Pascual,Record: 6-5-0,170.18,61.23,167.64,Unorthodox,"Sep 23, 1988",3.87,57,8.43,46,1.81,19,100,0.0,4
Jared Vanderaa,Record: 12-10-0,193.04,120.2,203.2,Orthodox,"May 12, 1992",4.96,44,5.67,45,0.18,50,20,0.0,4
Tresean Gore,Record: 5-2-0,182.88,83.91,190.5,Unorthodox,"Jun 21, 1994",3.04,53,6.13,47,3.04,71,81,1.2,2
Carlos Mota,Record: 8-2-0,162.56,56.7,175.26,Orthodox,"Apr 15, 1995",0.8,41,1.13,54,0.0,0,50,1.0,1
Joshua Weems,Record: 11-3-0,172.72,61.23,175.26,Orthodox,"May 05, 1994",5.25,64,3.34,61,4.77,40,100,0.0,2
TJ Dillashaw,Record: 18-5-0,167.64,61.23,170.18,Orthodox,"Feb 07, 1986",5.09,41,3.47,62,1.56,30,77,0.8,4
Gadzhi Omargadzhiev,Record: 13-2-0,185.42,77.11,180.34,Unorthodox,"Feb 24, 1993",1.8,39,2.2,39,1.35,30,60,0.5,1
Misha Cirkunov,Record: 15-9-0,190.5,92.99,195.58,Orthodox,"Feb 27, 1987",3.86,51,3.06,57,4.15,39,76,1.7,2
Brandon Davis,Record: 14-10-0,177.8,61.23,182.88,Orthodox,"May 08, 1990",4.68,35,4.62,58,0.74,42,57,0.1,4
Nick Maximov,Record: 8-2-0,182.88,83.91,193.04,Unorthodox,"Dec 23, 1997",1.93,45,2.64,46,4.16,45,35,0.2,2
Mike Jackson,Record: 1-2-0 (1 NC),187.96,77.11,187.96,Orthodox,"Mar 22, 1985",4.49,57,3.73,62,0.71,33,88,0.0,4
Francisco Trinaldo,Record: 28-9-0,175.26,77.11,177.8,Unorthodox,"Aug 24, 1978",3.13,45,2.67,60,0.98,42,60,0.5,2
Aleksei Oleinik,Record: 60-17-1,187.96,108.86,203.2,Orthodox,"Jun 20, 1977",3.29,48,3.8,44,1.82,46,37,1.9,2
Jesse Ronson,Record: 21-12-0 (1 NC),177.8,70.31,177.8,Unorthodox,"Dec 24, 1985",3.54,47,3.39,57,0.46,28,57,0.5,4
Krzysztof Jotko,Record: 24-6-0,185.42,83.91,195.58,Unorthodox,"Aug 19, 1989",2.98,42,2.23,57,1.33,39,82,0.1,2
Randy Costa,Record: 6-4-0,175.26,61.23,185.42,Unorthodox,"Jul 06, 1994",6.53,46,7.58,58,0.0,0,50,0.0,4
Alen Amedovski,Record: 8-4-0,177.8,83.91,187.96,Orthodox,"Apr 06, 1988",0.99,30,3.85,46,0.0,0,0,0.0,1
Louis Cosce,Record: 7-2-0,175.26,77.11,180.34,Orthodox,"Aug 27, 1995",4.31,45,5.35,47,1.04,20,50,0.5,4
Mariya Agapova,Record: 10-4-0,167.64,56.7,172.72,Unorthodox,"Apr 07, 1997",4.67,55,3.82,52,0.59,66,47,0.9,4
Cameron VanCamp,Record: 15-7-1 (1 NC),187.96,70.31,187.96,Unorthodox,"Apr 27, 1993",5.31,47,6.41,40,0.0,0,0,0.0,1
Nate Diaz,Record: 22-13-0,182.88,77.11,193.04,Unorthodox,"Apr 16, 1985",4.57,45,3.77,52,1.05,30,41,1.3,4
Li Jingliang,Record: 19-8-0,182.88,77.11,180.34,Orthodox,"Mar 20, 1988",4.46,42,3.84,57,1.25,41,60,0.0,4
Chris Barnett,Record: 23-8-0,175.26,120.2,190.5,Orthodox,"Jun 14, 1986",4.41,48,5.87,40,0.0,0,33,0.0,1
Danyelle Wolf,Record: 1-1-0,180.34,65.77,177.8,Orthodox,"Sep 08, 1983",2.37,25,4.57,47,0.0,0,77,0.5,1
Melissa Martinez,Record: 7-1-0,157.48,52.16,167.64,Unorthodox,"Aug 18, 1997",3.0,57,2.53,45,1.0,50,0,0.0,2
Darian Weeks,Record: 5-3-0,180.34,77.11,182.88,Orthodox,"Nov 23, 1993",4.49,51,4.56,51,2.0,30,100,0.0,4
Alessio Di Chirico,Record: 13-7-0,182.88,83.91,187.96,Orthodox,"Dec 12, 1989",3.32,39,3.44,61,1.46,39,83,0.0,4
Khalid Taha,Record: 13-5-0 (1 NC),165.1,61.23,175.26,Orthodox,"Feb 15, 1992",2.64,32,4.12,46,0.0,0,61,0.2,1
Luke Rockhold,Record: 16-6-0,190.5,83.91,195.58,Unorthodox,"Oct 17, 1984",4.1,49,2.68,53,0.7,29,65,1.0,4
Wu Yanan,Record: 13-6-0,172.72,61.23,167.64,Orthodox,"Apr 18, 1996",4.23,41,4.95,49,0.62,30,63,0.2,4
Harry Hunsucker,Record: 7-6-0,187.96,92.99,190.5,Orthodox,"Jan 03, 1989",3.54,52,6.53,42,0.0,0,0,2.0,1
Leonardo Santos,Record: 18-7-1,182.88,70.31,190.5,Orthodox,"Feb 05, 1980",2.82,46,3.4,54,0.88,25,86,0.2,4
Luis Saldana,Record: 16-7-1,180.34,65.77,185.42,Orthodox,"Jan 27, 1991",5.16,50,3.65,60,0.64,17,44,0.2,4
Francisco Figueiredo,Record: 13-5-1 (1 NC),167.64,56.7,172.72,Unorthodox,"Oct 23, 1989",2.04,61,2.59,61,2.51,75,76,0.4,2
Dominick Cruz,Record: 24-4-0,172.72,61.23,172.72,Orthodox,"Mar 09, 1985",3.91,33,2.61,70,2.82,42,83,0.1,2
Nina Nunes,Record: 11-7-0,165.1,56.7,162.56,Orthodox,"Dec 03, 1985",4.39,45,3.47,55,0.24,33,73,0.5,4
Charlie Ontiveros,Record: 11-9-0,187.96,70.31,187.96,Unorthodox,"Jul 04, 1991",1.89,41,5.86,31,0.0,0,30,0.0,1
Jason Witt,Record: 19-9-0,177.8,77.11,177.8,Orthodox,"Nov 07, 1986",2.15,44,2.54,52,6.9,48,100,0.9,2
Thiago Santos,Record: 22-11-0,187.96,92.99,193.04,Orthodox,"Jan 07, 1984",3.72,48,2.57,53,0.88,33,65,0.1,4
Sam Alvey,Record: 33-18-1 (1 NC),187.96,83.91,190.5,Unorthodox,"May 06, 1986",3.28,44,3.63,52,0.06,14,82,0.1,4
Miranda Granger,Record: 7-3-0,170.18,52.16,172.72,Orthodox,"Apr 13, 1992",2.79,47,2.57,57,0.0,0,33,0.0,1
Julianna Pena,Record: 12-5-0,167.64,61.23,175.26,Orthodox,"Aug 19, 1989",3.16,47,2.3,50,1.94,55,23,0.8,2
Hamdy Abdelwahab,Record: 5-0-0 (1 NC),187.96,119.75,182.88,Unorthodox,"Jan 22, 1993",3.87,52,3.13,59,3.0,75,0,0.0,2
Alexander Gustafsson,Record: 18-8-0,195.58,92.99,200.66,Orthodox,"Jan 15, 1987",4.03,40,3.53,51,1.53,39,83,0.4,4
Mason Jones,Record: 11-2-0 (1 NC),177.8,70.31,187.96,Orthodox,"Apr 26, 1995",5.61,44,4.94,46,3.16,45,80,0.0,4
Damir Hadzovic,Record: 14-7-0,175.26,70.31,177.8,Orthodox,"Aug 08, 1986",3.36,48,3.26,62,0.78,55,34,0.2,2
Charles Rosa,Record: 14-8-0,175.26,65.77,175.26,Unorthodox,"Aug 24, 1986",3.08,36,3.86,47,1.67,35,38,1.0,1
Claudio Silva,Record: 14-4-0,180.34,77.11,180.34,Unorthodox,"Sep 06, 1982",2.48,42,3.0,46,2.85,26,44,1.1,2
Shane Burgos,Record: 15-3-0,180.34,65.77,190.5,Orthodox,"Mar 19, 1991",7.4,52,6.78,56,0.43,44,91,0.4,4
Dwight Grant,Record: 11-6-0,185.42,83.91,193.04,Unorthodox,"Sep 14, 1984",3.29,36,2.66,60,0.61,100,66,0.0,2
Antonina Shevchenko,Record: 10-4-0,172.72,56.7,170.18,Unorthodox,"Nov 20, 1984",3.86,55,2.93,52,0.43,42,53,0.4,4
Cortney Casey,Record: 10-10-0,170.18,56.7,170.18,Orthodox,"May 05, 1987",4.29,39,4.0,55,0.39,31,39,0.5,4
Karl Roberson,Record: 9-6-0,185.42,92.99,187.96,Unorthodox,"Oct 04, 1990",2.57,51,2.42,57,0.72,40,42,0.5,2
Donald Cerrone,Record: 36-17-0 (2 NC),185.42,70.31,185.42,Orthodox,"Mar 29, 1983",4.41,46,4.48,53,1.16,33,73,1.2,4
Uriah Hall,Record: 18-11-0,182.88,83.91,200.66,Orthodox,"Jul 31, 1984",3.23,48,3.85,54,0.54,38,64,0.1,4
Jessica Eye,Record: 15-11-0 (1 NC),167.64,56.7,167.64,Orthodox,"Jul 27, 1986",3.86,37,4.19,55,0.58,40,57,0.5,4
Alan Baudot,Record: 8-3-0 (2 NC),190.5,110.22,200.66,Orthodox,"Feb 01, 1988",5.36,58,4.82,46,0.0,0,62,0.0,4
Raulian Paiva,Record: 21-5-0,172.72,61.23,175.26,Orthodox,"Oct 17, 1995",4.14,42,5.01,48,0.65,23,77,0.2,4
Tony Kelley,Record: 8-3-0,175.26,61.23,177.8,Unorthodox,"Jan 21, 1987",5.55,47,4.85,45,0.0,0,52,1.4,4
Danny Chavez,Record: 11-5-1,172.72,65.77,170.18,Orthodox,"Mar 14, 1987",2.86,38,3.83,50,1.95,60,87,0.0,2
Gloria de Paula,Record: 6-5-0,165.1,52.16,170.18,Orthodox,"Jun 10, 1995",4.89,53,3.77,66,0.74,37,65,0.5,4
Eddie Wineland,Record: 24-16-1,170.18,61.23,175.26,Orthodox,"Jun 26, 1984",3.4,29,3.76,68,0.34,33,86,0.1,4
Deron Winn,Record: 7-3-0,167.64,83.91,177.8,Orthodox,"Jun 13, 1989",4.55,44,6.21,46,4.28,52,40,0.0,2
Joanna Jedrzejczyk,Record: 16-5-0,167.64,52.16,165.1,Orthodox,"Aug 18, 1987",6.28,48,3.25,62,0.27,62,80,0.1,4
Ramazan Emeev,Record: 20-6-0,177.8,77.11,193.04,Unorthodox,"May 23, 1987",2.53,45,2.14,65,2.37,29,66,0.7,2
Poliana Botelho,Record: 8-5-0,172.72,56.7,170.18,Orthodox,"Dec 15, 1988",2.9,58,2.8,54,0.85,57,76,0.0,2
Zarrukh Adashev,Record: 4-4-0,165.1,56.7,165.1,Unorthodox,"Jul 29, 1992",3.65,40,3.04,64,0.0,0,100,0.5,4
Askar Mozharov,Record: 19-13-0,190.5,92.99,187.96,Orthodox,"Oct 26, 1994",0.43,18,4.07,13,0.0,0,33,0.0,3
Felice Herrig,Record: 14-10-0,162.56,52.16,165.1,Orthodox,"Sep 18, 1984",3.84,37,5.19,48,1.08,28,75,0.8,4
Alex Da Silva,Record: 21-4-0,172.72,70.31,185.42,Orthodox,"Feb 04, 1996",2.14,46,2.52,56,1.97,43,76,0.3,2
Niklas Stolze,Record: 12-6-0,185.42,70.31,187.96,Unorthodox,"Dec 28, 1992",2.12,48,2.25,49,0.66,100,55,0.7,2
Jeff Molina,Record: 11-2-0,167.64,56.7,175.26,Orthodox,"Jul 17, 1997",7.25,48,5.04,55,0.0,0,66,0.0,4
Andreas Michailidis,Record: 13-6-0,182.88,77.11,193.04,Orthodox,"Jul 18, 1988",2.9,51,3.57,44,1.12,27,50,0.0,1
Felipe Colares,Record: 10-4-0,172.72,65.77,175.26,Orthodox,"Mar 31, 1994",2.17,45,4.65,36,1.88,24,43,0.5,1
Louis Smolka,Record: 17-9-0,175.26,61.23,172.72,Orthodox,"Jul 16, 1991",4.67,47,4.11,53,1.69,35,32,1.8,4
Frank Camacho,Record: 22-10-0,177.8,70.31,185.42,Orthodox,"May 18, 1989",6.56,46,7.44,51,1.11,31,73,0.0,4
Alan Patrick,Record: 15-4-0 (1 NC),180.34,70.31,187.96,Unorthodox,"Jul 19, 1983",1.82,40,2.95,43,3.01,33,43,0.3,2
Tristan Connelly,Record: 14-8-0,177.8,65.77,172.72,Orthodox,"Dec 12, 1985",3.31,51,2.96,50,0.33,14,60,0.3,4
Gina Mazany,Record: 7-6-0,167.64,56.7,172.72,Unorthodox,"Aug 19, 1988",3.73,50,3.52,50,4.34,52,33,0.2,2
Sergey Khandozhko,Record: 28-6-1,185.42,77.11,187.96,Orthodox,"May 19, 1992",3.41,41,2.37,60,0.76,28,61,0.0,4
Ike Villanueva,Record: 18-14-0,185.42,92.99,185.42,Orthodox,"Apr 04, 1984",3.66,38,7.24,36,0.6,50,100,0.0,4
Cameron Else,Record: 10-6-0,175.26,61.23,180.34,Unorthodox,"Apr 27, 1987",1.99,40,8.09,51,0.0,0,0,0.0,1
Miguel Baeza,Record: 10-3-0,187.96,77.11,187.96,Orthodox,"Aug 23, 1992",4.88,49,5.1,53,0.44,28,100,1.8,4
TJ Laramie,Record: 12-5-0,167.64,65.77,167.64,Orthodox,"Oct 15, 1997",1.49,50,2.64,38,1.44,33,40,0.0,1
Brandon Jenkins,Record: 15-9-0,182.88,70.31,180.34,Unorthodox,"Sep 30, 1991",2.93,41,8.05,33,0.0,0,27,0.0,1
Kevin Croom,Record: 21-15-0 (1 NC),180.34,61.23,185.42,Orthodox,"Jul 15, 1987",2.65,34,3.1,41,0.48,5,30,0.5,1
Aspen Ladd,Record: 9-3-0,167.64,61.23,167.64,Orthodox,"Mar 01, 1995",3.78,47,4.65,47,1.56,47,62,0.6,4
Mickey Gall,Record: 7-5-0,187.96,77.11,187.96,Unorthodox,"Jan 22, 1992",2.94,46,4.25,49,1.21,30,36,1.9,1
Kay Hansen,Record: 7-6-0,157.48,52.16,160.02,Orthodox,"Aug 14, 1999",3.01,50,3.19,51,1.83,22,37,0.8,2
Askar Askarov,Record: 14-1-1,167.64,56.7,170.18,Orthodox,"Oct 09, 1992",3.05,54,2.8,57,2.6,24,66,0.4,2
Sara McMann,Record: 13-6-0,167.64,61.23,167.64,Orthodox,"Sep 24, 1980",2.26,46,1.92,47,4.38,65,50,0.5,2
Bruno Souza,Record: 10-3-0,177.8,65.77,177.8,Orthodox,"Mar 07, 1996",3.73,39,5.3,45,0.5,16,60,0.0,4
