name,record,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,Unnamed: 11,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,url
Elise Reed,Record: 7-4-0,"5' 3""",115 lbs.,"63""",Orthodox,"Dec 05, 1992",2.66,49%,3.06,52%,,0.58,60%,42%,0.0,http://www.ufcstats.com/fighter-details/ac7c765882f2c68c
Josh Fremd,Record: 11-5-0,"6' 4""",185 lbs.,"76""",Orthodox,"Jan 15, 1994",2.93,43%,2.63,47%,,0.84,25%,31%,1.4,http://www.ufcstats.com/fighter-details/ca43de99b07b6b40
Tracy Cortez,Record: 11-1-0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",4.11,53%,2.79,60%,,2.33,46%,75%,0.3,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029
Alex Reyes,Record: 13-4-0,"5' 11""",155 lbs.,"73""",Orthodox,"Oct 02, 1986",4.04,39%,10.91,40%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/dc07493a87dc0a6e
Josefine Knutsson,Record: 7-0-0,"5' 3""",115 lbs.,"60""",Orthodox,"Jan 16, 1996",3.73,52%,1.33,64%,,2.67,72%,100%,0.0,http://www.ufcstats.com/fighter-details/971dba22c622af12
Israel Adesanya,Record: 24-3-0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.93,48%,3.11,56%,,0.05,14%,77%,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
Alexander Volkov,Record: 37-10-0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",5.1,57%,3.0,54%,,0.49,63%,73%,0.2,http://www.ufcstats.com/fighter-details/279566840aa55bf2
Manel Kape,Record: 19-6-0,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",5.12,54%,4.51,59%,,0.65,37%,77%,0.4,http://www.ufcstats.com/fighter-details/5d1b7e3dd9e11074
Da Woon Jung,Record: 15-5-1,"6' 4""",205 lbs.,"78""",Orthodox,"Dec 07, 1993",3.49,43%,3.89,51%,,1.9,50%,77%,0.2,http://www.ufcstats.com/fighter-details/74f9448b97bf8bec
Jack Jenkins,Record: 12-3-0,"5' 7""",145 lbs.,"68""",Switch,"Nov 03, 1993",4.43,61%,3.07,59%,,2.56,69%,75%,0.0,http://www.ufcstats.com/fighter-details/a9da3158dd2c2b5a
John Makdessi,Record: 18-9-0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",5.52,49%,4.15,68%,,0.0,0%,86%,0.0,http://www.ufcstats.com/fighter-details/c21a036b4e012f1c
Blood Diamond,Record: 3-3-0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988",3.12,55%,2.17,48%,,0.0,0%,73%,0.0,http://www.ufcstats.com/fighter-details/9edf2c9082cc2cd8
Gabriel Miranda,Record: 17-6-0,"5' 11""",145 lbs.,"71""",Orthodox,"Mar 25, 1990",3.52,51%,6.88,39%,,4.8,40%,0%,2.4,http://www.ufcstats.com/fighter-details/b909a9a9688b5284
Shane Young,Record: 13-8-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 31, 1993",5.19,40%,5.46,52%,,0.63,18%,64%,0.0,http://www.ufcstats.com/fighter-details/4cd8b03aee1d0138
Kiefer Crosbie,Record: 10-4-0,"5' 11""",170 lbs.,"70""",Switch,"Apr 05, 1990",8.1,66%,6.02,50%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4729c93ba705a3bf
Ciryl Gane,Record: 12-2-0,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.49,60%,2.19,63%,,0.58,21%,50%,0.5,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a
Serghei Spivac,Record: 16-4-0,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.54,49%,3.79,49%,,4.56,64%,70%,0.5,http://www.ufcstats.com/fighter-details/e2f6b2769aaedd6c
Volkan Oezdemir,Record: 19-7-0,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",4.59,47%,3.92,55%,,0.57,33%,80%,0.1,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3
William Gomis,Record: 13-2-0,"6' 0""",145 lbs.,"73""",Southpaw,"Jun 13, 1997",2.62,46%,1.49,75%,,1.06,60%,81%,0.7,http://www.ufcstats.com/fighter-details/e1d40e8782d80bc2
Yanis Ghemmouri,Record: 12-2-0,"5' 9""",135 lbs.,"69""",Orthodox,"Jan 24, 1995",2.27,38%,4.22,40%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/eb70e786bbdf1d16
Manolo Zecchini,Record: 11-4-0,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 22, 1996",2.34,21%,6.75,46%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/fd7ab338e4953644
Joselyne Edwards,Record: 13-5-0,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.71,52%,3.36,50%,,1.0,33%,64%,0.3,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b
Zarah Fairn,Record: 6-6-0,"5' 8""",135 lbs.,"72""",Orthodox,"Dec 10, 1983",4.55,31%,7.4,45%,,0.0,0%,60%,0.0,http://www.ufcstats.com/fighter-details/862b0b3375aa4b6e
Chan Sung Jung,Record: 17-8-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",3.93,41%,4.52,52%,,0.7,44%,72%,0.6,http://www.ufcstats.com/fighter-details/c451d67c09c55418
Giga Chikadze,Record: 15-3-0,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",4.08,43%,3.44,62%,,0.23,33%,69%,0.2,http://www.ufcstats.com/fighter-details/9560ff14eb3129f7
Taila Santos,Record: 19-3-0,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 1993",3.39,48%,2.64,58%,,2.0,76%,86%,1.1,http://www.ufcstats.com/fighter-details/f7467152fd9f18a2
Parker Porter,Record: 14-9-0,"6' 0""",265 lbs.,"75""",Orthodox,"Apr 22, 1985",6.55,50%,6.32,51%,,1.35,26%,66%,0.5,http://www.ufcstats.com/fighter-details/ac40f7e3cbecdda4
Toshiomi Kazama,Record: 10-4-0,"5' 7""",135 lbs.,"69""",Orthodox,"May 15, 1997",2.22,54%,3.94,45%,,1.51,13%,66%,0.0,http://www.ufcstats.com/fighter-details/148bb103cfbf123e
Rolando Bedoya,Record: 14-3-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 13, 1997",8.7,55%,6.83,52%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/40a456a25d52ee65
Yusaku Kinoshita,Record: 6-3-0,"6' 0""",170 lbs.,"71""",Southpaw,"Aug 21, 2000",4.65,50%,5.12,51%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/21b5c82c1b89dab1
SeungWoo Choi,Record: 11-6-0,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",3.48,38%,3.02,47%,,0.87,54%,69%,0.0,http://www.ufcstats.com/fighter-details/a68575214ecad140
Da'Mon Blackshear,Record: 14-6-1,"5' 10""",135 lbs.,"72""",Switch,"Aug 12, 1994",4.28,47%,4.09,48%,,2.34,37%,66%,0.8,http://www.ufcstats.com/fighter-details/da22387a0407a2dc
Cub Swanson,Record: 29-13-0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",4.7,50%,3.84,59%,,1.09,52%,61%,0.4,http://www.ufcstats.com/fighter-details/d247691a6c0e9034
Hakeem Dawodu,Record: 13-4-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.45,50%,3.37,56%,,0.0,0%,65%,0.0,http://www.ufcstats.com/fighter-details/2c9d00968f818270
Chris Daukaus,Record: 12-7-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",6.05,50%,4.64,55%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/d0aaedcf7ccd0b45
Tafon Nchukwi,Record: 6-4-0,"6' 0""",185 lbs.,"77""",Orthodox,"Oct 14, 1994",5.57,52%,4.11,54%,,0.76,57%,64%,0.0,http://www.ufcstats.com/fighter-details/6aae253467e8f9ce
JP Buys,Record: 9-6-0,"5' 5""",135 lbs.,"67""",Orthodox,"Apr 30, 1996",1.88,39%,3.02,40%,,1.55,25%,25%,2.3,http://www.ufcstats.com/fighter-details/0b362247806341e5
Francis Marshall,Record: 7-2-0,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 03, 1999",3.66,33%,4.07,53%,,3.29,50%,0%,0.7,http://www.ufcstats.com/fighter-details/5d495dec23d7c68e
Juliana Miller,Record: 4-3-0,"5' 7""",125 lbs.,"66""",Orthodox,"May 07, 1996",3.31,45%,4.75,32%,,1.84,44%,0%,1.8,http://www.ufcstats.com/fighter-details/aa0c573da7119292
Cory Sandhagen,Record: 17-4-0,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",5.33,44%,3.4,58%,,1.36,33%,64%,0.3,http://www.ufcstats.com/fighter-details/65f09bacd3957381
Tatiana Suarez,Record: 11-0-0,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",4.27,63%,1.38,51%,,6.2,61%,100%,0.9,http://www.ufcstats.com/fighter-details/b08012bbe542592a
Gavin Tucker,Record: 13-3-0,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.29,44%,4.18,57%,,3.13,44%,53%,1.5,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Tanner Boser,Record: 21-10-1,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 02, 1991",4.7,52%,2.75,58%,,0.0,0%,63%,0.0,http://www.ufcstats.com/fighter-details/04c8b08b16a5b99e
Aleksa Camur,Record: 6-3-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",4.73,57%,4.26,54%,,0.46,22%,50%,0.0,http://www.ufcstats.com/fighter-details/c2a670b22d2e196f
Jan Blachowicz,Record: 29-10-1,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.41,50%,2.91,53%,,1.09,50%,68%,0.3,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8
Michael Chiesa,Record: 18-7-0,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",1.87,40%,1.7,54%,,3.33,50%,60%,1.0,http://www.ufcstats.com/fighter-details/c58f51dedb310998
Jai Herbert,Record: 12-5-1,"6' 1""",155 lbs.,"77""",Orthodox,"May 13, 1988",2.69,41%,3.15,45%,,0.2,10%,57%,0.0,http://www.ufcstats.com/fighter-details/4c88a1db5a46c6a4
Davey Grant,Record: 15-7-0,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",4.77,42%,3.82,55%,,1.26,41%,61%,0.2,http://www.ufcstats.com/fighter-details/113df4fde64735c6
Jonny Parsons,Record: 9-3-0,"5' 9""",170 lbs.,"69""",Orthodox,"Sep 06, 1991",4.65,44%,4.89,60%,,0.0,0%,66%,0.0,http://www.ufcstats.com/fighter-details/2975297f505e9447
Danny Roberts,Record: 18-8-0,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",3.18,39%,3.73,50%,,0.24,9%,57%,0.2,http://www.ufcstats.com/fighter-details/a6cba6bb66c1a8c9
Joel Alvarez,Record: 20-3-0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",3.65,46%,3.37,50%,,0.0,0%,11%,1.3,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc
Ketlen Vieira,Record: 14-3-0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",3.04,41%,3.92,51%,,1.51,44%,92%,0.6,http://www.ufcstats.com/fighter-details/b9706f80d005036c
Yanal Ashmouz,Record: 7-1-0,"5' 9""",155 lbs.,"68""",Orthodox,"Mar 31, 1995",3.08,42%,5.35,59%,,0.92,50%,50%,0.0,http://www.ufcstats.com/fighter-details/c739c2995a275314
Shauna Bannon,Record: 5-1-0,"5' 5""",115 lbs.,"65""",Switch,"Oct 23, 1993",3.6,37%,3.73,37%,,0.0,0%,33%,0.0,http://www.ufcstats.com/fighter-details/9c442aaf149ea982
Daniel Barez,Record: 16-6-0,"5' 6""",125 lbs.,"66""",Orthodox,"Dec 10, 1988",3.8,53%,5.32,55%,,4.07,31%,91%,1.6,http://www.ufcstats.com/fighter-details/e8fe9c15d348e778
Bassil Hafez,Record: 8-3-1,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 31, 1992",2.13,25%,5.53,39%,,3.0,15%,50%,0.0,http://www.ufcstats.com/fighter-details/f4d92416da98804b
Ottman Azaitar,Record: 13-2-0,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",5.73,51%,4.96,48%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/ee18ff42063174df
Albert Duraev,Record: 16-5-0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.99,40%,3.01,59%,,1.97,29%,66%,0.6,http://www.ufcstats.com/fighter-details/6b7c7460855dbbb9
Melsik Baghdasaryan,Record: 8-2-0,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",5.28,61%,3.06,58%,,0.0,0%,72%,0.0,http://www.ufcstats.com/fighter-details/a52bc1e62cf0b7c6
Tucker Lutz,Record: 12-4-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 12, 1994",3.74,46%,3.25,44%,,1.99,44%,69%,0.2,http://www.ufcstats.com/fighter-details/7832f2f62f04178f
Istela Nunes,Record: 6-5-0 (1 NC),"5' 4""",115 lbs.,"66""",Orthodox,"Jul 23, 1992",5.02,45%,4.84,60%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/efc67b07eed39794
Austin Lingo,Record: 9-3-0,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",3.86,37%,4.86,57%,,0.43,66%,75%,0.0,http://www.ufcstats.com/fighter-details/305d73ede05e31ad
Evan Elder,Record: 8-2-0,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997",4.75,48%,5.0,57%,,0.74,22%,28%,0.4,http://www.ufcstats.com/fighter-details/d9a56ecb6e94f02e
Genaro Valdez,Record: 10-3-0,"5' 9""",155 lbs.,"72""",Orthodox,"Jan 16, 1992",4.08,30%,7.16,48%,,1.54,44%,36%,0.4,http://www.ufcstats.com/fighter-details/cda1099995b46cc2
Tyson Nam,Record: 21-14-1,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",3.87,33%,4.97,65%,,0.0,0%,87%,0.0,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4
Alexander Munoz,Record: 7-2-0,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",3.7,42%,4.73,55%,,3.0,40%,100%,0.0,http://www.ufcstats.com/fighter-details/f8f1ec513bcfef43
Carl Deaton,Record: 17-7-0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",1.53,31%,1.85,61%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/914a897455693650
Ashlee Evans-Smith,Record: 6-6-0,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.03,34%,4.59,53%,,0.95,22%,50%,0.0,http://www.ufcstats.com/fighter-details/fc6e681bf6658faf
Dan Hooker,Record: 23-12-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",5.08,48%,4.76,51%,,0.79,34%,80%,0.4,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Robbie Lawler,Record: 30-16-0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,,0.65,64%,65%,0.0,http://www.ufcstats.com/fighter-details/f2925e6db404bf1d
Niko Price,Record: 15-7-0 (2 NC),"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",5.46,42%,5.6,48%,,0.7,20%,64%,0.7,http://www.ufcstats.com/fighter-details/d8da10db80131bec
Jimmy Crute,Record: 12-4-1,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",3.68,54%,3.04,44%,,4.84,57%,60%,2.0,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b
Kamuela Kirk,Record: 12-6-0,"5' 10""",155 lbs.,"75""",Switch,"Apr 13, 1994",3.22,50%,5.87,40%,,1.5,26%,47%,1.2,http://www.ufcstats.com/fighter-details/c7d7fda69ec410d3
Damir Ismagulov,Record: 24-3-0,"5' 10""",155 lbs.,"74""",Orthodox,"Feb 03, 1991",3.36,42%,2.44,61%,,1.0,28%,70%,0.0,http://www.ufcstats.com/fighter-details/135d124172a0bea3
Kevin Lee,Record: 18-8-0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.88,42%,3.6,50%,,3.18,43%,75%,0.8,http://www.ufcstats.com/fighter-details/ee9ebceabfd16fa7
Yana Santos,Record: 14-8-0 (1 NC),"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",4.16,56%,3.03,50%,,1.11,53%,42%,0.1,http://www.ufcstats.com/fighter-details/3143bf892608139a
Guram Kutateladze,Record: 12-4-0,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992",4.62,45%,4.53,56%,,0.69,18%,75%,0.0,http://www.ufcstats.com/fighter-details/7772b283d288dbe2
Alexandr Romanov,Record: 17-2-0,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",4.06,52%,2.2,50%,,4.32,54%,20%,0.9,http://www.ufcstats.com/fighter-details/c0badf3243907e59
Blagoy Ivanov,Record: 19-6-0 (1 NC),"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",3.25,40%,4.2,53%,,0.69,40%,61%,0.1,http://www.ufcstats.com/fighter-details/1788eee370f077b7
Gabriel Santos,Record: 10-2-0,"5' 9""",145 lbs.,"70""",Orthodox,"Nov 28, 1996",4.46,55%,6.03,44%,,4.34,46%,66%,1.2,http://www.ufcstats.com/fighter-details/f2f140ce7532e327
Phil Rowe,Record: 10-4-0,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990",3.94,52%,4.32,54%,,0.85,40%,59%,0.4,http://www.ufcstats.com/fighter-details/8e382b585a92affe
Zhalgas Zhumagulov,Record: 14-9-0,"5' 4""",125 lbs.,"66""",Switch,"Aug 29, 1988",5.24,43%,5.86,52%,,1.3,19%,75%,0.2,http://www.ufcstats.com/fighter-details/55fa6ce3e522c8bb
Jared Cannonier,Record: 17-6-0,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",4.68,52%,4.13,59%,,0.44,42%,63%,0.0,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26
Marvin Vettori,Record: 19-7-1,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",4.56,45%,4.24,56%,,1.66,45%,69%,0.5,http://www.ufcstats.com/fighter-details/7acbb0972e75281a
Tereza Bleda,Record: 7-1-0,"5' 9""",125 lbs.,"71""",Orthodox,"Nov 30, 2001",3.02,53%,1.86,46%,,1.81,27%,83%,0.7,http://www.ufcstats.com/fighter-details/59c438c81fbf3ece
Gabriella Fernandes,Record: 8-3-0,"5' 6""",125 lbs.,"66""",Southpaw,"Aug 13, 1993",1.63,47%,2.7,47%,,0.0,0%,61%,0.0,http://www.ufcstats.com/fighter-details/a6eb54ae17a551be
Ronnie Lawrence,Record: 8-2-0 (1 NC),"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",2.78,56%,1.75,52%,,6.75,77%,45%,0.2,http://www.ufcstats.com/fighter-details/e7e01e266a9d4342
Amanda Nunes,Record: 23-5-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",4.55,51%,2.62,57%,,2.73,54%,82%,0.7,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58
Adam Fugitt,Record: 9-4-0,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.3,54%,5.13,48%,,3.43,33%,50%,0.0,http://www.ufcstats.com/fighter-details/a01a62132460a98d
David Dvorak,Record: 20-6-0,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",3.48,43%,3.29,59%,,0.58,30%,70%,0.2,http://www.ufcstats.com/fighter-details/9ada30894bf04e19
Maria Oliveira,Record: 13-7-0,"5' 6""",115 lbs.,"69""",Orthodox,"Dec 12, 1996",5.03,38%,5.76,44%,,0.95,44%,47%,0.0,http://www.ufcstats.com/fighter-details/37d752ec41ed84bb
Amir Albazi,Record: 17-1-0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.8,39%,3.07,63%,,1.71,33%,40%,0.7,http://www.ufcstats.com/fighter-details/6d35bf94f7d30241
Kai Kara-France,Record: 24-11-0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.57,39%,3.24,65%,,0.63,33%,88%,0.0,http://www.ufcstats.com/fighter-details/853eb0dd5c0e2149
Daniel Pineda,Record: 28-15-0 (3 NC),"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",3.09,49%,3.18,46%,,1.71,25%,48%,1.7,http://www.ufcstats.com/fighter-details/361d49960a196976
Jesse Butler,Record: 12-5-0,"5' 10""",135 lbs.,"73""",Orthodox,"May 24, 1992",2.61,14%,7.83,40%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a75a48bfe776b2c2
Abubakar Nurmagomedov,Record: 17-4-1,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 13, 1989",2.78,53%,2.61,65%,,1.25,22%,88%,0.0,http://www.ufcstats.com/fighter-details/029e1293e609fd74
Daniel Santos,Record: 12-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 12, 1995",4.26,37%,5.12,50%,,1.9,50%,73%,0.0,http://www.ufcstats.com/fighter-details/b67d6bacc68d4c92
Luan Lacerda,Record: 12-3-0,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",4.52,44%,7.07,47%,,1.26,25%,75%,0.6,http://www.ufcstats.com/fighter-details/6fc506e1099afe20
Maxim Grishin,Record: 32-10-2,"6' 3""",205 lbs.,"78""",Orthodox,"May 02, 1984",3.26,52%,2.27,58%,,0.21,16%,66%,0.0,http://www.ufcstats.com/fighter-details/950d0ef5c17157c5
Orion Cosce,Record: 8-2-0,"5' 11""",170 lbs.,"71""",Switch,"Jul 15, 1994",2.77,53%,4.02,44%,,1.92,40%,61%,0.0,http://www.ufcstats.com/fighter-details/2c010b26a3306969
Ilir Latifi,Record: 17-9-0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",2.05,45%,2.93,56%,,2.11,35%,100%,0.3,http://www.ufcstats.com/fighter-details/e9a3aeb207578eea
Nick Fiore,Record: 6-2-0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 10, 1997",2.83,46%,7.93,42%,,2.5,45%,71%,0.0,http://www.ufcstats.com/fighter-details/036e96c1c12b8a59
Victoria Leonardo,Record: 9-6-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",3.27,39%,4.7,46%,,1.6,27%,71%,0.0,http://www.ufcstats.com/fighter-details/9dedfdd91070ddd8
Takashi Sato,Record: 16-7-0,"5' 10""",170 lbs.,"73""",Southpaw,"Jun 09, 1990",2.21,41%,3.73,44%,,0.76,37%,60%,0.0,http://www.ufcstats.com/fighter-details/8abac218746e04ca
Daniel Rodriguez,Record: 17-4-0,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",7.3,50%,5.28,56%,,0.62,50%,63%,0.1,http://www.ufcstats.com/fighter-details/8a1f3b5c526cd6e6
Matt Brown,Record: 26-19-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.76,55%,2.92,55%,,1.68,46%,63%,1.3,http://www.ufcstats.com/fighter-details/31123249b0bbf52e
Chase Sherman,Record: 16-12-0,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",6.04,45%,6.65,52%,,0.09,50%,74%,0.0,http://www.ufcstats.com/fighter-details/01b352b6a9074d5c
Douglas Silva de Andrade,Record: 29-5-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985",3.66,38%,3.99,58%,,0.61,46%,70%,0.2,http://www.ufcstats.com/fighter-details/3a314d9fa7c6825d
Cody Stamann,Record: 21-6-1,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",4.39,47%,3.63,62%,,2.34,39%,76%,0.0,http://www.ufcstats.com/fighter-details/bf7ad5628363eec9
Mandy Bohm,Record: 8-2-0 (1 NC),"5' 7""",125 lbs.,"71""",Orthodox,"Jul 30, 1989",2.51,45%,3.24,60%,,0.72,18%,75%,0.7,http://www.ufcstats.com/fighter-details/297a2b35444c245b
Ji Yeon Kim,Record: 9-7-2,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",5.37,36%,5.41,56%,,0.0,0%,50%,0.1,http://www.ufcstats.com/fighter-details/a20f234df70f2182
Gabe Green,Record: 11-5-0,"5' 10""",155 lbs.,"73""",Switch,"May 02, 1993",6.28,45%,6.95,47%,,0.83,50%,53%,0.3,http://www.ufcstats.com/fighter-details/5eb50529a8418b77
Jessica-Rose Clark,Record: 11-9-0 (1 NC),"5' 5""",135 lbs.,"64""",Orthodox,"Nov 28, 1987",3.73,51%,3.51,58%,,1.66,42%,62%,0.3,http://www.ufcstats.com/fighter-details/6c8072b61c276e67
Belal Muhammad,Record: 23-3-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.55,43%,3.64,57%,,1.98,35%,93%,0.2,http://www.ufcstats.com/fighter-details/b1b0729d27936f2f
Kron Gracie,Record: 5-2-0,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",3.74,44%,6.82,53%,,0.47,25%,0%,0.5,http://www.ufcstats.com/fighter-details/242d36d241b43c12
Braxton Smith,Record: 5-2-0,"5' 11""",257 lbs.,"72""",Orthodox,"Jan 01, 1990",6.46,48%,11.54,32%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/eaa9402e5a7990ad
Joseph Holmes,Record: 8-4-0,"6' 4""",185 lbs.,"80""",Orthodox,"Jul 04, 1995",2.88,53%,3.08,54%,,1.49,40%,50%,0.8,http://www.ufcstats.com/fighter-details/8d20d76af3f213ce
Journey Newson,Record: 10-5-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"Mar 07, 1989",2.64,32%,2.57,64%,,0.56,16%,43%,0.3,http://www.ufcstats.com/fighter-details/78f485f851891d68
Hailey Cowan,Record: 7-3-0,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 12, 1992",2.97,42%,3.17,34%,,1.5,33%,80%,0.0,http://www.ufcstats.com/fighter-details/3c26c420584d912d
Brogan Walker,Record: 8-4-0,"5' 4""",125 lbs.,"67""",Switch,"Aug 02, 1988",2.04,30%,3.7,47%,,0.0,0%,11%,0.0,http://www.ufcstats.com/fighter-details/4333a8e70a672eb7
Montel Jackson,Record: 13-2-0,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",3.36,53%,1.41,64%,,3.42,71%,69%,0.3,http://www.ufcstats.com/fighter-details/cc1a8b4b38b92c6d
Brady Hiestand,Record: 8-2-0,"5' 8""",135 lbs.,"71""",Orthodox,"Apr 30, 1999",2.93,52%,3.65,53%,,4.06,46%,42%,0.3,http://www.ufcstats.com/fighter-details/7af33fc4435017f1
Batgerel Danaa,Record: 12-5-0,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",5.38,36%,4.21,47%,,0.52,50%,62%,0.0,http://www.ufcstats.com/fighter-details/3b0a516d2921e0d6
